Source,Target,Weight
supremacy,blm,84
watching,blm,83
nyc,blm,83
welcome,blm,83
trumprussia,blm,83
article,blm,83
dc,blm,83
teach,blm,83
handmade,blm,83
keevenrobinson,blm,82
often,blm,82
viral,blm,82
top,blm,82
literally,blm,82
ready,blm,82
anthem,blm,82
wakanda,blm,82
fridayfeeling,blm,82
evil,blm,82
open,blm,81
nation,blm,81
liberals,blm,81
17,blm,81
democracy,blm,81
especially,blm,81
gonna,blm,81
working,blm,81
fucktrump,blm,80
daca,blm,80
political,blm,80
far,blm,80
bring,blm,80
7,blm,80
feminism,blm,80
victims,blm,79
schools,blm,79
whitesupremacy,blm,79
superbowl,blm,79
alive,blm,79
blackpanther,blm,79
afriforum,blm,79
9,blm,79
traffic,blm,79
kneel,blm,79
stuff,blm,79
class,blm,79
hiphop,blm,78
lie,blm,78
lt,blm,78
americafirst,blm,78
message,blm,78
member,blm,78
body,blm,78
employees,blm,78
including,blm,78
former,blm,78
taken,blm,77
looking,blm,77
liberal,blm,77
nazi,blm,77
bill,blm,77
seeing,blm,77
fbrparty,blm,77
finally,blm,77
service,blm,77
exactly,blm,77
isn’t,blm,77
woke,blm,77
least,blm,77
reminder,blm,77
womensmarch,blm,77
solidarity,blm,77
north,blm,77
outrage,blm,77
apartheid,blm,76
allowed,blm,76
proud,blm,76
episode,blm,76
local,blm,76
sleeping,blm,76
et,blm,76
bbq,blm,76
kkk,blm,76
incident,blm,76
star,blm,76
self,blm,76
honor,blm,76
netneutrality,blm,76
players,blm,75
absolutely,blm,75
e,blm,75
donald,blm,75
three,blm,75
policing,blm,75
nrabloodmoney,blm,75
tired,blm,75
msnbc,blm,75
followbackresistance,blm,75
kanyewest,blm,74
immigrants,blm,74
le,blm,74
caught,blm,74
response,blm,74
parents,blm,74
slaves,blm,74
threat,blm,74
saw,blm,74
sister,blm,74
israeli,blm,74
comes,blm,74
imagine,blm,74
million,blm,73
thread,blm,73
smh,blm,73
morning,blm,73
tv,blm,73
behavior,blm,73
